iter	Passed	Remaining
856	2855	25181	857	2856	25209	858	25166	4130
859	25194	4101
860	25226	4072
861	25251	4042
862	25286	4014
863	25308	3983
864	2863	25405	865	2864	25432	866	2865	25459	867	2866	25486	868	2867	25515	869	2868	25545	870	2869	25580	871	2870	25611	872	2871	25636	873	2872	25672	874	2873	25704	875	2874	25736	3676
875	25766	877	2876	25795	878	2877	25829	879	2878	25858	880	2879	25901	3532
880	25947	3504
881	25989	3477
882	26022	3448
883	26050	3418
884	26078	3388
885	26115	3360
886	26145	3330
887	26177	3301
888	26214	3273
889	26250	3244
890	26279	3214
891	26319	3186
892	26350	3157
893	26385	3128
894	26419	3099
895	26462	3071
896	26507	3043
897	26547	3015
898	26583	2986
899	26617	2957
900	26652	2928
901	26686	2899
902	26715	2869
903	26752	2840
904	26787	2811
905	26820	2782
906	26852	2753
907	26877	2723
908	26920	2695
909	26950	2665
910	26988	2636
911	27019	2607
912	27056	2578
913	27097	2549
914	27135	2520
915	27163	2491
916	27197	2461
917	27228	2432
918	27259	2402
919	27301	2374
920	27321	2343
921	27353	2314
922	27385	2284
923	27416	2255
924	27450	2225
925	27478	2195
926	27513	2166
927	27543	2137
928	27573	2107
929	27610	2078
930	27649	2049
931	27683	2019
932	27723	1990
933	27755	1961
934	27785	1931
935	27817	1902
936	27849	1872
937	27879	1842
938	27915	1813
939	27942	1783
940	27967	1753
941	28007	1724
942	28040	1694
943	28077	1665
944	28107	1635
945	28139	1606
946	28171	1576
947	28200	1546
948	28235	1517
949	28270	1487
950	28298	1458
951	28334	1428
952	28373	1399
953	28416	1370
954	28448	1340
955	28487	1311
956	28517	1281
957	28553	1251
958	28589	1222
959	28620	1192
960	28651	1162
961	28676	1132
962	28714	1103
963	28745	1073
964	28780	1043
965	28812	1014
966	28866	985
967	28902	955
968	28930	925
969	28953	895
970	28980	865
971	29002	835
972	29029	805
973	29058	775
974	29090	745
975	29122	716
976	29148	686
977	29166	656
978	29190	626
979	29212	596
980	29242	566
981	29263	536
982	29282	506
983	29300	476
984	29317	446
985	29334	416
986	29349	386
987	29361	356
988	29371	326
989	29382	296
990	29392	266
991	29402	237
992	29411	207
993	29419	177
994	29428	147
995	29436	118
996	29444	88
997	29451	59
998	29459	29
999	29466	0
