iter	Passed	Remaining
643	23920	13223
644	23954	13184
645	23987	13144
646	24028	13109
647	24062	13070
648	24096	13032
649	24124	12990
650	24157	12950
651	24185	12908
652	24218	12869
653	24259	12834
654	24293	12795
655	24329	12758
656	24372	12723
657	24405	12684
658	24437	12645
659	24476	12609
660	24511	12571
661	24548	12533
662	24580	12494
663	24625	12460
664	24660	12423
665	24706	12390
666	24744	12353
667	24780	12315
668	24809	12275
669	24845	12237
670	24881	12199
671	24920	12163
672	24955	12125
673	24994	12089
674	25032	12052
675	25073	12017
676	25122	11986
677	25158	11948
678	25196	11911
679	25232	11874
680	25268	11836
681	25295	11794
682	25329	11756
683	25363	11717
684	25409	11684
685	25466	11656
686	25514	11624
687	25555	11589
688	25593	11552
689	25630	11515
690	25675	11481
691	25723	11449
692	25764	11413
693	25806	11378
694	25849	11344
695	25904	11314
696	25939	11276
697	25984	11242
698	26028	11208
699	26065	11170
700	26097	11131
701	26126	11090
702	26166	11054
703	26205	11018
704	26245	10982
705	26282	10944
706	26314	10905
707	26341	10863
708	26373	10824
709	26404	10784
710	26438	10746
711	26472	10707
712	26506	10669
713	26542	10631
714	26576	10593
715	26605	10552
716	26638	10514
717	26671	10475
718	26702	10435
719	26737	10397
720	26773	10360
721	26812	10323
722	26846	10285
723	26876	10245
724	26908	10206
725	26942	10168
726	26988	10134
727	27033	10100
728	27064	10061
729	27103	10024
730	27140	9987
731	27173	9948
732	27214	9913
733	27251	9876
734	27284	9837
735	27323	9800
736	27369	9766
737	27410	9731
738	27449	9694
739	27486	9657
740	27515	9617
741	27564	9584
742	27600	9546
743	27630	9507
744	27652	9465
745	27689	9427
746	27724	9390
747	27757	9351
748	27794	9314
749	27834	9278
750	27870	9240
751	27895	9199
752	27933	9162
753	27969	9125
754	27986	9081
755	28003	9038
756	28020	8994
757	28034	8950
758	28051	8906
759	28066	8863
760	28100	8825
761	28131	8786
762	28169	8749
763	28212	8714
764	28248	8677
765	28306	8647
766	28345	8610
